Name;Birthday;Weight;Height;Citizenship;Place_of_birth;Hand;Sex;Link
Фариа Луиш ;18.07.1999;;;Португалия;;;Мужской;https://www.liveresult.ru/tennis/players/Faria-Luis
Медведев Даниил ;11.02.1996;83;198;РОССИЯ;Moscow;Правая;Мужской;https://www.liveresult.ru/tennis/players/Daniil-Medvedev
Джокович Новак ;22.05.1987;77;188;Сербия;Belgrade;Правая;Мужской;https://www.liveresult.ru/tennis/players/Novak-Djokovic
Зверев Александр ;20.04.1997;90;198;Германия;Hamburg;Правая;Мужской;https://www.liveresult.ru/tennis/players/Alexander-Zverev
Хуркач Хуберт ;11.02.1997;79;196;Польша;Wroclaw;Правая;Мужской;https://www.liveresult.ru/tennis/players/Hubert-Hurkacz
Надаль Рафаэль ;03.06.1986;85;185;Испания;Manacor;Левая;Мужской;https://www.liveresult.ru/tennis/players/Rafael-Nadal
Уильямс Серена ;26.09.1981;70;175;США;Saginaw, MI;Правая;Женский;https://www.liveresult.ru/tennis/players/Serena-Williams
Весселс Луис ;27.08.1998;;;Германия;;;Мужской;https://www.liveresult.ru/tennis/players/Louis-Wessels
Руднев Валерий ;27.08.1998;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Valery-Rudnev
Циципас Стефанос ;12.08.1998;85;193;Греция;Athens;Правая;Мужской;https://www.liveresult.ru/tennis/players/Stefanos-Tsitsipas
Соболенко Арина ;05.05.1998;74;182;Беларусь;Minsk;Правая;Женский;https://www.liveresult.ru/tennis/players/Aryna-Sabalenka
Гонсалес Рубен ;11.09.1985;;;Филиппины;;Правая;Мужской;https://www.liveresult.ru/tennis/players/Ruben-Gonzales
Берреттини Маттео ;12.04.1996;85;193;Италия;Rome;Правая;Мужской;https://www.liveresult.ru/tennis/players/Matteo-Berrettini
Саккари Мария ;25.07.1995;64;172;Греция;Athens;Правая;Женский;https://www.liveresult.ru/tennis/players/Maria-Sakkari
Федерер Роджер ;08.08.1981;85;185;Швейцария;Basel;Правая;Мужской;https://www.liveresult.ru/tennis/players/Roger-Federer
Рублёв Андрей ;20.10.1997;70;188;РОССИЯ;Moscow;Правая;Мужской;https://www.liveresult.ru/tennis/players/Andrey-Rublev
Koval V.;20.10.1997;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Koval-V
Свитолина Элина ;12.09.1994;60;174;Украина;Odessa;Правая;Женский;https://www.liveresult.ru/tennis/players/Elina-Svitolina
Плишкова Каролина ;21.03.1992;72;186;Чехия;Louny;Правая;Женский;https://www.liveresult.ru/tennis/players/Karolina-Pliskova
Шарапова Мария ;19.04.1987;60;188;РОССИЯ;;;Женский;https://www.liveresult.ru/tennis/players/Maria-Sharapova
Мугуруса Гарбинье ;08.10.1993;73;182;Испания;Caracas;Правая;Женский;https://www.liveresult.ru/tennis/players/Garbine-Muguruza-Blanco
Тим Доминик ;03.09.1993;79;185;Австрия;Wiener Neustadt;Правая;Мужской;https://www.liveresult.ru/tennis/players/Dominic-Thiem
Фриц Тейлор ;28.10.1997;86;193;США;Rancho Santa Fe, CA;Правая;Мужской;https://www.liveresult.ru/tennis/players/Taylor-Fritz
Рууд Каспер ;22.12.1998;77;183;Норвегия;Oslo;Правая;Мужской;https://www.liveresult.ru/tennis/players/Ruud-Casper
Азаренко Виктория ;31.07.1989;70;183;Беларусь;Minsk;Правая;Женский;https://www.liveresult.ru/tennis/players/Victoria-Azarenka
Жабер Онс ;28.08.1994;67;167;Тунис;Ksar El Hellar;Правая;Женский;https://www.liveresult.ru/tennis/players/Ons-Jabeur
Швёнтек Ига ;31.05.2001;;;Польша;Warsaw;Правая;Женский;https://www.liveresult.ru/tennis/players/Iga-Swiatek
Осака Наоми ;16.10.1997;72;180;Япония;Osaka;Правая;Женский;https://www.liveresult.ru/tennis/players/Osaka-N
Бенчич Белинда ;10.03.1997;68;175;Швейцария;Flawil;Правая;Женский;https://www.liveresult.ru/tennis/players/Belinda-Bencic
Вильянуэва Гонсало ;13.01.1995;;;Аргентина;;Правая;Мужской;https://www.liveresult.ru/tennis/players/Gonzalo-Villanueva
Крейчикова Барбора ;18.12.1995;65;178;Чехия;Brno;Правая;Женский;https://www.liveresult.ru/tennis/players/Barbora-Krejcikova
Халеп Симона ;27.09.1991;60;168;Румыния;Constanta;Правая;Женский;https://www.liveresult.ru/tennis/players/Simona-Halep
Тома Саша ;27.09.1991;;;;;;Женский;https://www.liveresult.ru/tennis/players/Sacha-Thoma
Касаткина Дарья ;07.05.1997;62;170;РОССИЯ;Tolyatti;Правая;Женский;https://www.liveresult.ru/tennis/players/Daria-Kasatkina
Мария Татьяна ;08.08.1987;64;172;Германия;Bad Saulgau;Правая;Женский;https://www.liveresult.ru/tennis/players/Tatjana-Maria
Тарпищев Филипп ;08.08.1987;;;;;;Женский;https://www.liveresult.ru/tennis/players/Philipp-Tarpischev
Давидович Фокина Алехандро ;05.06.1999;80;180;Испания;Malaga;Правая;Мужской;https://www.liveresult.ru/tennis/players/Alejandro-Davidovich
Барти Эшли ;24.04.1996;60;166;Австралия;Ipswich;Правая;Женский;https://www.liveresult.ru/tennis/players/Ashleigh-Barty
Иванович Ана ;06.11.1987;69;184;Сербия;;;Женский;https://www.liveresult.ru/tennis/players/Ivanovic-A
Сергеев Иван ;20.01.1988;;;Украина;;Правая;Мужской;https://www.liveresult.ru/tennis/players/Ivan-Sergeyev
Павлюченкова Анастасия ;03.07.1991;72;177;РОССИЯ;Samara;Правая;Женский;https://www.liveresult.ru/tennis/players/Pavlyuchen-a
Дэйли Даниэлла ;15.06.2000;;;Великобритания;;;Женский;https://www.liveresult.ru/tennis/players/Danielle-Daley
Гоффен Давид ;07.12.1990;70;180;Бельгия;Rocourt;Правая;Мужской;https://www.liveresult.ru/tennis/players/David-Goffin
Зарицкая Анастасия ;08.01.1998;;;Украина;;;Мужской;https://www.liveresult.ru/tennis/players/Anastasia-Zarytska
Ларссон Юханна ;08.01.1998;;;Швеция;;;Женский;https://www.liveresult.ru/tennis/players/Johanna-Larsson
Авидзба Ален ;24.02.2000;76;188;РОССИЯ;Sochi;Правая;Мужской;https://www.liveresult.ru/tennis/players/Alen-Avidzba
Сеппи Андреас ;21.02.1984;78;191;Италия;Bolzano;Правая;Мужской;https://www.liveresult.ru/tennis/players/Andreas-Seppi
Тиафо Фрэнсис ;20.01.1998;77;188;США;Hyattsville, MD;Правая;Мужской;https://www.liveresult.ru/tennis/players/Frances-Tiafoe
Димитров Григор ;16.05.1991;81;190;Болгария;Haskovo;Правая;Мужской;https://www.liveresult.ru/tennis/players/Grigor-Dimitrov
Бонзи Бенджамин ;09.06.1996;75;183;Франция;Nimes;Правая;Мужской;https://www.liveresult.ru/tennis/players/Benjamin-Bonzi
Шаповалов Денис ;15.04.1999;75;183;Канада;Tel Aviv;Левая;Мужской;https://www.liveresult.ru/tennis/players/Denis-Shapovalov
Хелиовара Харри ;15.04.1999;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Heliovaara-H
Вавринка Стэн ;28.03.1985;81;183;Швейцария;Lausanne;Правая;Мужской;https://www.liveresult.ru/tennis/players/Stan-Wawrinka
Чан Хао-Чин ;19.09.1993;60;175;Тайвань;Taipei;Правая;Женский;https://www.liveresult.ru/tennis/players/Hao-Ching-Chan
Юрак Дария ;05.04.1984;70;180;Хорватия;Zagreb;Правая;Женский;https://www.liveresult.ru/tennis/players/Darija-Jurak
Веснина Елена ;01.08.1986;60;176;РОССИЯ;Lvov;Правая;Женский;https://www.liveresult.ru/tennis/players/Vesnina-E
Санчич Антонио ;23.11.1988;82;180;Хорватия;Brezice;Правая;Мужской;https://www.liveresult.ru/tennis/players/Sancic-A
Соррибес Тормо Сара ;08.10.1996;68;176;Испания;Castellon;Правая;Женский;https://www.liveresult.ru/tennis/players/Sara-Sorribes-Tormo
Очи Макото ;03.05.1996;65;175;Япония;;Левая;Мужской;https://www.liveresult.ru/tennis/players/Makoto-Ochi
Албот Раду ;11.11.1989;69;175;Молдова;Chisinau;Правая;Мужской;https://www.liveresult.ru/tennis/players/Radu-Albot
Албот Раду ;11.11.1989;69;175;Молдова;Chisinau;Правая;Мужской;https://www.liveresult.ru/tennis/players/Radu-Albot
Андреев Адриан ;12.05.2001;;;Болгария;;Правая;Мужской;https://www.liveresult.ru/tennis/players/Adrian-Andreev
Смит Джон-Патрик ;24.01.1989;84;188;Австралия;Townsville;Левая;Мужской;https://www.liveresult.ru/tennis/players/John-Patrick-Smith
Джойс Майкл ;24.01.1989;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Joyce-M
Ловетт Кори ;27.04.1996;;;США;;Правая;Мужской;https://www.liveresult.ru/tennis/players/Korey-Lovett
Вардхан Вишну ;27.07.1987;84;188;Индия;Secuderabad;Правая;Мужской;https://www.liveresult.ru/tennis/players/Vardhan-V
Сабате-Бретос Оскар ;27.07.1987;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Sabate-Bretos-O
Мелигени Фелипе (Felipe Meligeni Rodrigues Alves);19.02.1998;;;Бразилия;;Правая;Мужской;https://www.liveresult.ru/tennis/players/Felipe-Meligeni-Rodrigues-Alves
Шабанов Матей ;25.06.1992;;;Хорватия;;Правая;Мужской;https://www.liveresult.ru/tennis/players/Matej-Sabanov
Ямасита Фернандо ;01.10.1997;;;Бразилия;;;Мужской;https://www.liveresult.ru/tennis/players/Yamacita-F
Ким Юн-Сеок ;12.05.1995;;;Южная Корея;;;Мужской;https://www.liveresult.ru/tennis/players/Young-Seok-Kim
Делич Мате ;12.05.1995;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Mate-Delic
Грымальска Анастасия ;12.05.1995;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Anastasia-Grymalska
Александрова Екатерина ;15.11.1994;66;173;РОССИЯ;Chelyabinsk;Правая;Женский;https://www.liveresult.ru/tennis/players/Ekaterina-Alexandrova
Каримов Джурабек ;04.06.1998;;;Узбекистан;;;Мужской;https://www.liveresult.ru/tennis/players/Jurabeck-Karimov
Родригес Д. ;04.06.1998;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Rodriguez-D
Гранольерс Марсель ;12.04.1986;80;191;Испания;Barcelona;Правая;Мужской;https://www.liveresult.ru/tennis/players/Granollers-M
Краинович Филип ;27.02.1992;75;185;Сербия;Sombor;Правая;Мужской;https://www.liveresult.ru/tennis/players/Filip-Krajinovic
Санчес Мануэль ;05.01.1991;77;183;Мексика;San Luis Potosi;Правая;Мужской;https://www.liveresult.ru/tennis/players/Manuel-Sanchez
Ромболи Фернандо ;04.01.1989;81;180;Бразилия;Rio de Janeiro;Правая;Мужской;https://www.liveresult.ru/tennis/players/Romboli-F
Дабровски Габриэла ;01.04.1992;70;178;Канада;Ottawa;Правая;Женский;https://www.liveresult.ru/tennis/players/Gabriela-Dabrowski
Новиков Деннис ;06.11.1993;91;193;США;Moscow, Russia;Правая;Мужской;https://www.liveresult.ru/tennis/players/Novikov-D
Бега Алессандро ;11.01.1991;68;173;Италия;Cernusco Sul Naviglio;Правая;Мужской;https://www.liveresult.ru/tennis/players/Alessandro-Bega
Штруфф Ян-Леннард ;25.04.1990;92;196;Германия;Warstein;Правая;Мужской;https://www.liveresult.ru/tennis/players/Jan-Lennard-Struff
Кудерметова Вероника ;24.06.1997;66;175;РОССИЯ;Kazan;Правая;Женский;https://www.liveresult.ru/tennis/players/Veronika-Kudermetova
Екшибарова Влада ;14.03.1989;;;Израиль;Tashkent;Правая;Женский;https://www.liveresult.ru/tennis/players/Ekshibarova-V
Пол Томми ;17.05.1997;79;185;США;Voorhees, NJ;Правая;Мужской;https://www.liveresult.ru/tennis/players/Paul-T
Фосса-Хуэрго Николь ;26.05.1995;;;Италия;;;Женский;https://www.liveresult.ru/tennis/players/Huergo-Nicole-Fossa
Бердых Томаш ;17.09.1985;91;196;Чехия;;;Женский;https://www.liveresult.ru/tennis/players/Tomas-Berdych
Эванс Дэниэл ;23.05.1990;75;175;Великобритания;Birmingham;Правая;Мужской;https://www.liveresult.ru/tennis/players/Daniel-Evans
Кубот Лукаш ;16.05.1982;86;190;Польша;Boleslawiec;Правая;Мужской;https://www.liveresult.ru/tennis/players/Lukasz-Kubot
Бердых Томаш ;17.09.1985;91;196;Чехия;;;Мужской;https://www.liveresult.ru/tennis/players/Tomas-Berdych
Дияс Зарина ;18.10.1993;64;172;Казахстан;Almaty;Правая;Женский;https://www.liveresult.ru/tennis/players/Zarina-Diyas
Эванс Дэниэл ;23.05.1990;75;175;Великобритания;Birmingham;Правая;Мужской;https://www.liveresult.ru/tennis/players/Daniel-Evans
Гласспул Ллойд ;19.11.1993;85;191;Великобритания;Redditch;Правая;Мужской;https://www.liveresult.ru/tennis/players/Lloyd-Glasspool
Дакворт Джеймс ;21.01.1992;82;183;Австралия;Sydney;Правая;Мужской;https://www.liveresult.ru/tennis/players/James-Duckworth
Оливьери Дженаро-Альберто ;04.08.1998;;;Аргентина;;;Мужской;https://www.liveresult.ru/tennis/players/Genaro-Alberto-Olivieri
Сок Джек ;24.09.1992;84;191;США;Lincoln,NE;Правая;Мужской;https://www.liveresult.ru/tennis/players/Jack-Sock
Ломакин Григорий ;18.03.1998;;;Казахстан;;Правая;Мужской;https://www.liveresult.ru/tennis/players/Grigoriy-Lomakin
Оже-Альяссим Феликс ;08.08.2000;88;193;Канада;Montreal;Правая;Мужской;https://www.liveresult.ru/tennis/players/Felix-Auger-Aliassime
Синякова Катерина ;10.05.1996;69;174;Чехия;Hradec Kralove;Правая;Женский;https://www.liveresult.ru/tennis/players/Katerina-Siniakova
Маннарино Адриан ;29.06.1988;66;183;Франция;Soisy-Sous;Левая;Мужской;https://www.liveresult.ru/tennis/players/Mannarino-A
Хачанов Карен ;21.05.1996;88;198;РОССИЯ;Moscow;Правая;Мужской;https://www.liveresult.ru/tennis/players/Karen-Khachanov
Рамос-Виньолас Альберт ;17.01.1988;76;188;Испания;Barcelona;Левая;Мужской;https://www.liveresult.ru/tennis/players/Albert-Ramos-Vinolas
Андерсон Кевин ;18.05.1986;89;203;ЮАР;Johannesburg;Правая;Мужской;https://www.liveresult.ru/tennis/players/Kevin-Anderson
Нисикори Кеи ;29.12.1989;68;178;Япония;Shimane;Правая;Мужской;https://www.liveresult.ru/tennis/players/Kei-Nishikori
Хилцик Джаред ;08.07.1994;79;185;США;;;Мужской;https://www.liveresult.ru/tennis/players/Jared-Hiltzik
Бёхлер Доминик ;08.07.1994;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Boehler-D
Маккарти Эндрю ;08.07.1994;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Andrew-Mccarthy
Чун Хюн ;08.07.1994;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Chung-H
Бехар Ариэль ;12.11.1989;86;183;Уругвай;Montevideo;Правая;Мужской;https://www.liveresult.ru/tennis/players/Ariel-Behar
Эрбер Пьер-Юг ;18.03.1991;75;188;Франция;Schiltigheim;Правая;Мужской;https://www.liveresult.ru/tennis/players/Pierre-Hugues-Herbert
Сольберг Кристофер ;01.02.1994;;;Швеция;;Правая;Мужской;https://www.liveresult.ru/tennis/players/Christoffer-Solberg
Хромачева Ирина ;12.05.1995;60;170;РОССИЯ;Moscow;Левая;Женский;https://www.liveresult.ru/tennis/players/Irina-Khromacheva
Южный Михаил ;12.05.1995;;;;;;Женский;https://www.liveresult.ru/tennis/players/Youzhny-M
Зеленай Игорь ;02.10.1982;88;198;Словакия;Trencin;Правая;Мужской;https://www.liveresult.ru/tennis/players/Zelenay-I
Тирней Финн ;02.10.1982;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Tearney-F
Беллотти Риккардо ;02.10.1982;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Riccardo-Bellotti
Кикер Николас ;16.08.1992;75;180;Аргентина;Merlo;Правая;Мужской;https://www.liveresult.ru/tennis/players/Kicker-N
Ин-Альбон Илена ;06.03.1999;;;Швейцария;;Правая;Женский;https://www.liveresult.ru/tennis/players/Ylena-In-Albon
Карреньо-Буста Пабло ;12.07.1991;78;188;Испания;Gijon;Правая;Мужской;https://www.liveresult.ru/tennis/players/Pablo-Carreno-Busta
Бейгельзимер Юлия ;12.07.1991;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Beygelzimer-Y
Попырин Алексей ;05.08.1999;78;196;Австралия;Sydney;Правая;Мужской;https://www.liveresult.ru/tennis/players/Alexei-Popyrin
Зеленай Игорь ;02.10.1982;88;198;Словакия;Trencin;Правая;Мужской;https://www.liveresult.ru/tennis/players/Zelenay-I
Раонич Милош ;27.12.1990;90;196;Канада;Podgorica;Правая;Мужской;https://www.liveresult.ru/tennis/players/Milos-Raonic
Хромачева Ирина ;12.05.1995;60;170;РОССИЯ;Moscow;Левая;Женский;https://www.liveresult.ru/tennis/players/Irina-Khromacheva
Южный Михаил ;12.05.1995;;;;;;Женский;https://www.liveresult.ru/tennis/players/Youzhny-M
Арруабаррена-Весино Лара ;20.03.1992;58;166;Испания;San Sebastian;Правая;Женский;https://www.liveresult.ru/tennis/players/Lara-Arruabarrena
Джасика Омар ;20.03.1992;;;Австралия;;;Мужской;https://www.liveresult.ru/tennis/players/Omar-Jasika
Недовесов Александр ;15.02.1987;81;193;Казахстан;Alushta, Ukraine;Правая;Мужской;https://www.liveresult.ru/tennis/players/Oleksandr-Nedovyesov
Садикович Амра ;15.02.1987;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Amra-Sadikovic
Ястремская Даяна ;15.05.2000;68;175;Украина;Odessa;Правая;Женский;https://www.liveresult.ru/tennis/players/Dayana-Yastremska
Донской Евгений ;09.05.1990;75;185;РОССИЯ;Moscow;Правая;Мужской;https://www.liveresult.ru/tennis/players/Donskoy-E
Самсонова Людмила ;11.11.1998;;;РОССИЯ;Olenegorsk;Правая;Женский;https://www.liveresult.ru/tennis/players/Lyudmila-Samsonova
Ван де Зандсхулп Ботик ;04.10.1995;83;188;Нидерланды;Wageningen;Правая;Мужской;https://www.liveresult.ru/tennis/players/Botic-Van-de-Zandschulp
Линделл Кристиан ;20.11.1991;87;193;Швеция;Rio de Janeiro, Brazil;Правая;Мужской;https://www.liveresult.ru/tennis/players/Christian-Lindell
Де Минаур Алекс ;17.02.1999;69;180;Австралия;Sydney;Правая;Мужской;https://www.liveresult.ru/tennis/players/Alex-De-Minaur
Брунстрем Йохан ;17.02.1999;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Brunstrom-J
Гаспарян Маргарита ;01.09.1994;73;183;РОССИЯ;Moscow;Правая;Женский;https://www.liveresult.ru/tennis/players/Gasparyan-Margarita
Барриос Томас ;01.09.1994;;;;;;Женский;https://www.liveresult.ru/tennis/players/Barrios-T
Сонего Лоренцо ;11.05.1995;76;191;Италия;Torino;Правая;Мужской;https://www.liveresult.ru/tennis/players/Lorenzo-Sonego
Аль-Балуши М-Н. ;11.05.1995;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Al-Baloushi-M-N
